radius_mean,texture_mean,perimeter_mean,concavity_mean,concave points_mean,radius_se,smoothness_se,concave points_se,radius_worst,texture_worst,perimeter_worst,smoothness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,Target
0.521037437,0.022658099,0.545988529,0.703139644,0.73111332,0.356147022,0.159295645,0.300625118,0.620775525,0.14152452,0.668310175,0.601135838,0.568610224,0.912027491,0.598462448,0.418863964,1
0.643144493,0.272573554,0.615783291,0.203608247,0.348757455,0.156436719,0.119386749,0.253835954,0.606901459,0.303571429,0.53981772,0.347553325,0.192971246,0.639175258,0.233589592,0.222878132,1
0.601495575,0.390260399,0.595743211,0.462511715,0.635685885,0.229621582,0.150831152,0.389846562,0.556385628,0.360074627,0.508441655,0.483589777,0.359744409,0.835051546,0.403705894,0.213433032,1
0.210090397,0.360838688,0.233501486,0.565604499,0.522862823,0.139091074,0.251453241,0.353665467,0.24831021,0.385927505,0.241346681,0.915472496,0.548642173,0.884879725,1,0.773711137,1
0.629892565,0.156577612,0.63098611,0.463917526,0.518389662,0.233822198,0.33235884,0.357075204,0.519743863,0.123933902,0.506947557,0.437363798,0.319488818,0.558419244,0.157500493,0.142594779,1
0.258838563,0.202570172,0.267984244,0.36972821,0.402037773,0.080753214,0.197062923,0.215381701,0.268231946,0.312633262,0.263907565,0.712738559,0.427715655,0.598281787,0.477035285,0.454939,1
0.533342799,0.347311464,0.523875337,0.264058107,0.367793241,0.121383306,0.088418262,0.196817579,0.531839203,0.41684435,0.511927885,0.482269035,0.302236422,0.663917526,0.295288784,0.187852551,1
0.318472242,0.376056814,0.320710386,0.219447048,0.297465209,0.170921601,0.241085087,0.274294374,0.324795446,0.429637527,0.299765925,0.622267714,0.213897764,0.534707904,0.321506012,0.393939394,1
0.284869137,0.409536693,0.302052381,0.43556701,0.464860835,0.070541372,0.136587687,0.232240955,0.268943436,0.498667377,0.277852483,0.6546259,0.430511182,0.70790378,0.554504238,0.342122524,1
0.259311846,0.484612783,0.277658766,0.532567948,0.424602386,0.067390911,0.184791107,0.271263497,0.254713625,0.763859275,0.235270681,0.753681569,0.882587859,0.759450172,0.552138774,1,1
0.427800653,0.457558336,0.407090042,0.077296157,0.165159046,0.097048705,0.078729986,0.143796174,0.400569192,0.582622601,0.36550625,0.309912171,0.116533546,0.342783505,0.272619752,0.193362193,1
0.416441857,0.276631721,0.413309377,0.233223993,0.32833002,0.142784718,0.137947445,0.242849024,0.444325863,0.406716418,0.428756412,0.451891963,0.316693291,0.621993127,0.438990735,0.32638069,1
0.57688485,0.510314508,0.612328104,0.483833177,0.555666004,0.305630998,0.048475371,0.774767948,0.463536108,0.47761194,0.504457393,0.214818728,0.290654952,0.607216495,0.317563572,0.309982946,1
0.419754839,0.481569158,0.414000415,0.23284911,0.266600398,0.10566721,0.273855254,0.377344194,0.31696905,0.41684435,0.306738383,0.276893614,0.185463259,0.384536082,0.245219791,0.051357733,1
0.319418808,0.436252959,0.344205653,0.498594189,0.398856859,0.036429477,0.160315464,0.308391741,0.252579153,0.532782516,0.290801335,0.620286601,0.554552716,0.758762887,0.40035482,0.577594123,1
0.357754745,0.602975989,0.365835119,0.384020619,0.366003976,0.093608546,0.132372438,0.2064785,0.339025258,0.66924307,0.367000349,0.638116622,0.561182109,0.588316151,0.522964715,0.518562246,1
0.364380709,0.352384173,0.352083477,0.173266167,0.26138171,0.130798479,0.136145766,0.210077666,0.396300249,0.502665245,0.363514119,0.4967972,0.232747604,0.552920962,0.288586635,0.177882723,1
0.433006768,0.370984106,0.444406053,0.403467666,0.510934394,0.165743255,0.180609851,0.245690472,0.463536108,0.518656716,0.43025051,0.711417817,0.382108626,0.712371134,0.422038242,0.388036206,1
0.607174973,0.420696652,0.595743211,0.346532334,0.472067594,0.23418432,0.162525071,0.288122751,0.68979011,0.502665245,0.679266896,0.528495014,0.429073482,0.820618557,0.237137788,0.138462548,1
0.310426428,0.157253974,0.301775966,0.156138707,0.237624254,0.05736013,0.229425162,0.249100208,0.255425116,0.192963753,0.245480353,0.480948293,0.190894569,0.442611684,0.27833629,0.115112161,0
0.288655403,0.202908353,0.289129984,0.107029053,0.154572565,0.026688394,0.081041575,0.122939951,0.233724653,0.225746269,0.22750137,0.396420788,0.150958466,0.250274914,0.319140548,0.175718221,0
0.119409343,0.092323301,0.114366664,0.069259606,0.103180915,0.060039833,0.26831424,0.269179769,0.081821416,0.097014925,0.073310424,0.404345242,0.070822684,0.213986254,0.174452986,0.148825922,0
0.395617398,0.153872168,0.405707968,0.486644799,0.484890656,0.118522542,0.172553286,0.426595946,0.36072572,0.188166311,0.371980676,0.447929737,0.503594249,0.82233677,0.611472501,0.29135511,1
0.6710682,0.450794724,0.645497892,0.257029053,0.429025845,0.210103205,0.102491756,0.196628149,0.755602988,0.628198294,0.685243289,0.455193819,0.251996805,0.690378007,0.247782377,0.132624951,1
0.457617493,0.394656747,0.457535761,0.357310216,0.455765408,0.251783451,0.147363769,0.214055692,0.659196016,0.520788913,0.630459684,0.721983755,0.375,0.719931271,0.403705894,0.266299357,1
0.480808368,0.226242814,0.498997996,0.522258669,0.696322068,0.338403042,0.214705782,0.45406327,0.50942725,0.25,0.507943623,0.550287261,0.307747604,0.87628866,0.493002168,0.333595697,1
0.359647877,0.399729456,0.370534172,0.333880037,0.436530815,0.051783451,0.093109427,0.256109112,0.344717182,0.564765458,0.358533792,0.537079839,0.442412141,0.928178694,0.532032328,0.475272203,1
0.550380993,0.35644234,0.541151268,0.349109653,0.384244533,0.268477277,0.307203318,0.362000379,0.475987193,0.406183369,0.445689526,0.413590438,0.275239617,0.512027491,0.152966686,0.125737898,1
0.393724265,0.526208996,0.40501693,0.394329897,0.434940358,0.118594967,0.119658701,0.205152491,0.438989683,0.658049041,0.492504607,0.61368289,0.505990415,0.695532646,0.48531441,0.286763741,1
0.501159544,0.180588434,0.492087624,0.231373008,0.39527833,0.177005251,0.133052317,0.256487971,0.429740306,0.19989339,0.420787888,0.358779634,0.198801917,0.500343643,0.234772324,0.158402204,1
0.551327559,0.520798106,0.559809274,0.543345829,0.618290258,0.260438168,0.154162559,0.219359727,0.541444326,0.58608742,0.548284277,0.51462722,0.48985623,0.635051546,0.370392273,0.28059819,1
0.22996829,0.304024349,0.235920116,0.285379569,0.257554672,0.134347275,0.130468777,0.197764728,0.31625756,0.429104478,0.343592808,0.611041405,0.555591054,0.531271478,0.630001971,0.55857274,1
0.47512897,0.4825837,0.476884804,0.566307404,0.597912525,0.177222524,0.222830336,0.210645956,0.460690146,0.534914712,0.426764281,0.609060292,0.446325879,0.634707904,0.387344766,0.195329923,1
0.581617682,0.566790666,0.581231428,0.388238051,0.377385686,0.16089082,0.11224802,0.182667172,0.577018855,0.503198294,0.552766572,0.526513901,0.486501597,0.613402062,0.415336093,0.375573921,1
0.433006768,0.276293541,0.436804644,0.317244611,0.38528827,0.080572153,0.084033042,0.171756014,0.436855212,0.406183369,0.409831167,0.48491052,0.421246006,0.640549828,0.53321506,0.447723993,1
0.461877041,0.401758539,0.458226798,0.3158388,0.299105368,0.126742712,0.138117415,0.22636863,0.429740306,0.453091684,0.413815429,0.562173942,0.432028754,0.623024055,0.650108417,0.20523416,1
0.344029533,0.406154887,0.344412964,0.309044049,0.278230616,0.063190295,0.141584798,0.219928017,0.283173248,0.48880597,0.32765576,0.48491052,0.414217252,0.497250859,0.39936921,0.304079759,1
0.286288987,0.294555293,0.268260659,0.060028116,0.14527833,0.026217635,0.089710032,0.220496306,0.191035219,0.287579957,0.169580158,0.1706399,0.038602236,0.172268041,0.083185492,0.043617998,0
0.379052487,0.523841731,0.357611775,0.056185567,0.144085487,0.399239544,0.175748717,0.363136958,0.251156172,0.351279318,0.224762189,0.149904246,0.019153355,0.099621993,0,0,1
0.307586729,0.375718634,0.308271716,0.249062793,0.270328032,0.036755387,0.12421389,0.239060428,0.270366418,0.373134328,0.283330843,0.593211385,0.401757188,0.775945017,0.244825547,0.341466614,1
0.305693596,0.401420358,0.292930689,0.072867854,0.100944334,0.045989498,0.053268518,0.130346657,0.284596229,0.4858742,0.25942527,0.252459882,0.166533546,0.382130584,0.281687364,0.10770038,1
0.187846088,0.393642205,0.19425057,0.244611059,0.281759443,0.045301467,0.215895571,0.196438719,0.174670936,0.621535181,0.183325863,0.790662352,0.321325879,0.489347079,0.275773704,0.269054178,1
0.572152019,0.510652689,0.583995577,0.493673852,0.495079523,0.314901322,0.164360744,0.499715855,0.574884383,0.56369936,0.632451815,0.353496665,0.578434505,0.856701031,0.612063868,0.319821593,1
0.298121066,0.357456882,0.300808514,0.230716963,0.306063618,0.093753395,0.114185675,0.181094904,0.336179296,0.425906183,0.312216744,0.540381695,0.292651757,0.512714777,0.428543268,0.312606585,1
